Id;Bezeichnung;Öffnungszeiten;Strukturierte-Öffnungszeiten;Sonstige Angaben;Anmerkung;Postadresse Straße;Postadresse Hausnummer;Postadresse PLZ;Postadresse Ort;Postadresse Adresszusatz;Postadresse Aufzug vorhanden;Postadresse Rollstuhlgeeignet;Postfach PLZ;Postfach Ort;Postfach Postfach;Postfach Aufzug vorhanden;Postfach Rollstuhlgeeignet;Besucheradresse Straße;Besucheradresse Hausnummer;Besucheradresse PLZ;Besucheradresse Ort;Besucheradresse Adresszusatz;Besucheradresse Aufzug vorhanden;Besucheradresse Rollstuhlgeeignet;Lieferadresse Straße;Lieferadresse Hausnummer;Lieferadresse PLZ;Lieferadresse Ort;Lieferadresse Adresszusatz;Lieferadresse Aufzug vorhanden;Lieferadresse Rollstuhlgeeignet;Telefon Veröffentlichen;Telefon Kontakt;Fax Veröffentlichen;Fax Kontakt;Mobil Veröffentlichen;Mobil Kontakt;E-Mail Veröffentlichen;E-Mail Kontakt;Website Veröffentlichen;Website Kontakt;Übergeordnete Organisationseinheit
350029;Ortsbürgermeister Sulzbachtal;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
350032;Ortsbürgermeister Frankelbach;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
350035;Ortsbürgermeister Olsbrücken;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
350038;Ortsbürgermeister Mehlbach;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
350041;Ortsbürgermeister Niederkirchen;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
350044;Ortsbürgermeister Schallodenbach;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
350047;Ortsbürgermeister Heiligenmoschel;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
350050;Stadtbürgermeister Otterberg;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
360784;Fachbereich 2 - Bürgerbüro;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;Hauptstraße;27;67697;Otterberg;Gebäude: Otterberg;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;269511
368620;Fachbereich 1 - Personal;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;269510
368623;Fachbereich 2 - Standesamt;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;269511
368626;Fachbereich 2 - Ordnungsamt;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
368629;Fachbereich 1 - Wahlamt;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;269510
368632;Fachbereich 3 - Liegenschaften;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
368635;Fachbereich 4 - Kasse;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
369025;Fachbereich 1 - Öffentlichkeitsarbeit;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
369340;Gleichstellungsbeauftragte;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
372190;Bauhof der Verbandsgemeinde Otterbach-Otterberg;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
